target;v1;v2;v3;v4;v5;v6;v7;v8;sample_type
4,97;640,3571429;396,7142857;682,8571429;530,6428571;691,3571429;384;759,1428571;3790,928571;lab 2
4,72;670,1333333;378;694;542,4;706,6666667;371,5333333;791,4666667;3725,666667;lab 2
4,73;635,9333333;376,4;640,4;519,2666667;695,5333333;361,0666667;719,4666667;3738,466667;lab 2
4,69;597,7333333;370,6666667;670,2666667;484,8;674,6666667;357,4666667;746,0666667;3892,933333;lab 2
4,8;583,875;349,1875;641,625;477;664;327,8125;665,75;3917,625;lab 2
4,62;570,5625;344,0625;629,0625;487,4375;672,9375;323,75;708,75;3889,375;lab 2
4,73;567,5625;356,5;623;476,5;661,0625;321,0625;695,9375;3858,5;lab 2
4,13;646,4;389,6666667;684,6;527;699,4;354,9333333;759,1333333;3895,4;lab 2
4,79;624,2;377,6666667;645,6666667;486,7333333;699,7333333;364,4;734,2;3741,266667;lab 2
4,83;573,25;361,25;643,125;489,8125;666,875;355,25;712,3125;3943,6875;lab 2
4,47;678,375;398,125;678,25;541,125;704;393,5;788,8125;3928,1875;lab 2
4,63;634;382,8666667;657,4666667;505,0666667;719,2;366,6;792,1333333;3861,2;lab 2
4,35;615,3125;366,75;642,9375;483,6875;675,625;359,0625;730,125;3859,0625;lab 2
4,43;575,2;350,2666667;648,3333333;495,4;679,8;346,2666667;718,7333333;3903,333333;lab 2
